Moscou; 2; Chambre; Bricolage, Babysitting; Pas d animaux, Non fumeur; Piscine, Blanchissage; Transfert possible; Pension complète; 29/7/2023; 30/7/2023; -99; 21; 2; 0
Avignon; 3; Cabane dans un arbre; Donner des cours d anglais, Bricolage; Pas d animaux; Blanchissage, Parking; Transfert possible; Demi-pension; 19/10/2023; 20/10/2023; -99; 65; 1; 159
Paris; 4; Cabane dans un arbre; Jardinage, Donner des cours d anglais; ; Piscine, Blanchissage; Transfert possible; Pension complète; 16/9/2022; 17/9/2022; -99; 8; 2; 160
Draguignan; 2; Chambre; Babysitting, Promener les chiens; Pas d animaux; Parking, Blanchissage; Transfert possible; Pension complète; 16/2/2023; 31/2/2023; -99; 21; 3; 161
Paris; 3; Cabane dans un arbre; Donner des cours d anglais; Non fumeur; Parking; Pas de transfert; Pension complète; 1/10/2022; 15/10/2022; -99; 90; 1; 162
Berlin; 5; Tente; Babysitting; Pas d animaux, Non fumeur; Parking; Pas de transfert; Petit déjeuner; 5/11/2023; 6/11/2023; -99; 60; 2; 163
Marseille; 6; Cabane dans un arbre; Jardinage; Non fumeur; Wifi, Balade à cheval; Pas de transfert; Pension complète; 11/12/2024; 12/12/2024; -99; 63; 3; 164
Berlin; 5; Tente; Donner des cours d anglais, Promener les chiens; Non fumeur; Wifi, Piscine, Balade à cheval; Pas de transfert; Demi-pension; 24/12/2024; 29/12/2024; -99; 33; 1; 165
Seville; 6; Cabane dans un arbre; Babysitting; Pas d animaux, Non fumeur; Piscine, Parking; Transfert possible; Pension complète; 27/2/2024; 28/2/2024; -99; 39; 3; 166
Paris; 5; Chambre; Donner des cours d anglais; Pas d animaux; Wifi, Piscine, Parking; Transfert possible; Demi-pension; 7/6/2022; 14/6/2022; -99; 1; 3; 167
Marseille; 2; Chambre; Promener les chiens, Jardinage; ; Wifi; Pas de transfert; Pension complète; 14/9/2022; 15/9/2022; -99; 30; 1; 168
Toulouse; 5; Cabane dans un arbre; Donner des cours d anglais; ; Wifi, Blanchissage, Piscine; Pas de transfert; Petit déjeuner; 22/2/2024; 26/2/2024; -99; 35; 2; 169
Seville; 2; Tente; Promener les chiens; Non fumeur, Pas d animaux; Blanchissage, Parking; Pas de transfert; Demi-pension; 28/11/2023; 29/11/2023; -99; 44; 3; 170
Strasbourg; 5; Chambre; Babysitting; Pas d animaux; Balade à cheval; Pas de transfert; Pension complète; 26/5/2022; 31/5/2022; -99; 56; 2; 171
Avignon; 6; Cabane dans un arbre; Bricolage; Non fumeur; Balade à cheval, Wifi; Pas de transfert; Demi-pension; 17/4/2022; 18/4/2022; -99; 100; 1; 172
Berlin; 6; Cabane dans un arbre; Promener les chiens, Donner des cours d anglais; Non fumeur; Wifi, Blanchissage, Balade à cheval; Pas de transfert; Demi-pension; 27/11/2022; 28/11/2022; -99; 63; 3; 173
Moscou; 5; Cabane dans un arbre; Bricolage; Non fumeur, Pas d animaux; Parking; Transfert possible; Petit déjeuner; 25/5/2023; 26/5/2023; -99; 6; 3; 174
Berlin; 6; Cabane dans un arbre; Babysitting; ; Blanchissage, Balade à cheval, Wifi; Transfert possible; Demi-pension; 28/8/2024; 29/8/2024; -99; 58; 3; 175
Marseille; 4; Cabane dans un arbre; Jardinage; Pas d animaux; Balade à cheval; Transfert possible; Pension complète; 14/11/2024; 15/11/2024; -99; 62; 1; 176
Berlin; 2; Cabane dans un arbre; Promener les chiens, Jardinage; Non fumeur, Pas d animaux; Balade à cheval; Pas de transfert; Petit déjeuner; 3/6/2022; 18/6/2022; -99; 99; 2; 177
Berlin; 2; Chambre; Babysitting, Donner des cours d anglais; Pas d animaux, Non fumeur; Parking; Transfert possible; Petit déjeuner; 5/11/2022; 22/11/2022; -99; 31; 1; 178
Avignon; 4; Tente; Promener les chiens; Pas d animaux, Non fumeur; Balade à cheval; Transfert possible; Petit déjeuner; 19/11/2022; 20/11/2022; -99; 15; 2; 179
Toulouse; 6; Chambre; Babysitting, Promener les chiens; Non fumeur, Pas d animaux; Wifi, Blanchissage; Transfert possible; Demi-pension; 25/6/2024; 26/6/2024; -99; 96; 3; 180
Avignon; 4; Chambre; Bricolage; Pas d animaux, Non fumeur; Balade à cheval, Parking; Transfert possible; Pension complète; 11/8/2023; 31/8/2023; -99; 16; 2; 181
Moscou; 4; Tente; Jardinage, Babysitting; Pas d animaux, Non fumeur; Piscine, Blanchissage, Wifi; Pas de transfert; Demi-pension; 4/11/2024; 5/11/2024; -99; 93; 3; 182
Draguignan; 4; Cabane dans un arbre; Jardinage; ; Balade à cheval, Parking; Transfert possible; Petit déjeuner; 18/4/2022; 19/4/2022; -99; 83; 2; 183
Berlin; 2; Tente; Babysitting, Promener les chiens; Non fumeur, Pas d animaux; Balade à cheval, Wifi; Pas de transfert; Pension complète; 9/11/2022; 27/11/2022; -99; 80; 2; 184
Seville; 6; Tente; Babysitting, Donner des cours d anglais; Non fumeur, Pas d animaux; Parking; Transfert possible; Demi-pension; 30/11/2022; 31/12/2022; -99; 74; 1; 185
Berlin; 6; Tente; Donner des cours d anglais; Non fumeur; Piscine; Pas de transfert; Demi-pension; 19/7/2024; 20/7/2024; -99; 75; 2; 186
Berlin; 4; Chambre; Bricolage; Non fumeur, Pas d animaux; Piscine; Transfert possible; Pension complète; 12/8/2024; 30/8/2024; -99; 1; 2; 187
Strasbourg; 6; Chambre; Jardinage, Donner des cours d anglais; Non fumeur; Blanchissage, Piscine, Parking; Pas de transfert; Petit déjeuner; 22/10/2022; 26/10/2022; -99; 31; 2; 188
Avignon; 4; Tente; Jardinage, Promener les chiens; ; Blanchissage, Balade à cheval; Transfert possible; Pension complète; 14/11/2023; 20/11/2023; -99; 45; 1; 189
Seville; 6; Cabane dans un arbre; Donner des cours d anglais, Bricolage; Pas d animaux, Non fumeur; Blanchissage, Wifi; Transfert possible; Demi-pension; 13/4/2023; 26/4/2023; -99; 15; 2; 190
Strasbourg; 2; Cabane dans un arbre; Babysitting, Promener les chiens; Non fumeur; Blanchissage; Pas de transfert; Petit déjeuner; 21/6/2023; 22/6/2023; -99; 24; 2; 191
Berlin; 2; Cabane dans un arbre; Jardinage, Bricolage; ; Wifi, Balade à cheval, Parking; Pas de transfert; Demi-pension; 10/9/2022; 11/9/2022; -99; 22; 1; 192
Berlin; 3; Cabane dans un arbre; Donner des cours d anglais, Promener les chiens; ; Parking, Balade à cheval, Piscine; Transfert possible; Petit déjeuner; 27/7/2024; 28/7/2024; -99; 93; 1; 193
Chartres; 3; Chambre; Donner des cours d anglais; Non fumeur; Wifi; Transfert possible; Petit déjeuner; 16/12/2022; 18/12/2022; -99; 95; 2; 194
Paris; 2; Chambre; Babysitting, Promener les chiens; Pas d animaux, Non fumeur; Balade à cheval, Wifi, Parking; Pas de transfert; Pension complète; 24/7/2024; 25/7/2024; -99; 68; 2; 195
Avignon; 5; Tente; Jardinage, Donner des cours d anglais; Non fumeur; Parking; Pas de transfert; Petit déjeuner; 4/12/2024; 24/12/2024; -99; 84; 3; 196
Moscou; 4; Chambre; Jardinage; ; Piscine, Wifi, Balade à cheval; Pas de transfert; Demi-pension; 9/9/2024; 30/9/2024; -99; 51; 1; 197
Strasbourg; 4; Chambre; Donner des cours d anglais; ; Blanchissage; Pas de transfert; Demi-pension; 10/4/2024; 28/4/2024; -99; 57; 3; 198
Berlin; 3; Cabane dans un arbre; Donner des cours d anglais, Babysitting; Pas d animaux, Non fumeur; Balade à cheval, Parking, Wifi; Transfert possible; Demi-pension; 4/5/2023; 17/5/2023; -99; 71; 1; 199
Chartres; 2; Cabane dans un arbre; Promener les chiens, Bricolage; Pas d animaux; Parking, Piscine, Balade à cheval; Transfert possible; Pension complète; 2/7/2024; 12/7/2024; -99; 21; 1; 200
Seville; 2; Cabane dans un arbre; Donner des cours d anglais; Pas d animaux; Piscine, Blanchissage, Wifi; Pas de transfert; Demi-pension; 9/4/2022; 10/4/2022; -99; 84; 1; 201
Chartres; 5; Chambre; Donner des cours d anglais, Jardinage; Non fumeur, Pas d animaux; Balade à cheval, Piscine; Pas de transfert; Demi-pension; 5/1/2023; 6/1/2023; -99; 11; 3; 202
Moscou; 4; Tente; Babysitting, Jardinage; Non fumeur, Pas d animaux; Balade à cheval; Transfert possible; Pension complète; 12/11/2022; 30/11/2022; -99; 63; 3; 203
Avignon; 3; Chambre; Promener les chiens; ; Parking; Pas de transfert; Demi-pension; 2/8/2023; 25/8/2023; -99; 65; 1; 204
Seville; 3; Cabane dans un arbre; Promener les chiens, Jardinage; ; Blanchissage, Parking; Pas de transfert; Pension complète; 20/9/2024; 28/9/2024; -99; 6; 3; 205
Seville; 6; Tente; Promener les chiens, Babysitting; Pas d animaux, Non fumeur; Piscine, Wifi; Transfert possible; Demi-pension; 31/5/2024; 32/5/2024; -99; 17; 2; 206
Paris; 2; Cabane dans un arbre; Bricolage; Pas d animaux, Non fumeur; Blanchissage; Transfert possible; Petit déjeuner; 2/4/2024; 19/4/2024; -99; 31; 3; 207
Moscou; 4; Cabane dans un arbre; Promener les chiens; ; Wifi; Pas de transfert; Demi-pension; 17/6/2023; 18/6/2023; -99; 11; 1; 208
Toulouse; 3; Cabane dans un arbre; Donner des cours d anglais; Non fumeur; Piscine, Blanchissage; Pas de transfert; Demi-pension; 8/9/2022; 15/9/2022; -99; 15; 1; 209
Paris; 4; Chambre; Bricolage; Non fumeur; Wifi, Parking; Pas de transfert; Demi-pension; 25/10/2023; 26/10/2023; -99; 86; 3; 210
Berlin; 3; Cabane dans un arbre; Promener les chiens; Non fumeur, Pas d animaux; Balade à cheval, Wifi; Pas de transfert; Petit déjeuner; 11/8/2023; 21/8/2023; -99; 97; 1; 211
Strasbourg; 2; Tente; Bricolage, Babysitting; Pas d animaux; Blanchissage, Wifi, Parking; Pas de transfert; Pension complète; 13/10/2022; 14/10/2022; -99; 91; 3; 212
Avignon; 2; Tente; Donner des cours d anglais, Bricolage; Non fumeur; Piscine, Wifi, Balade à cheval; Pas de transfert; Pension complète; 6/4/2023; 27/4/2023; -99; 9; 1; 213
Toulouse; 2; Chambre; Jardinage, Babysitting; ; Parking; Pas de transfert; Demi-pension; 12/7/2022; 13/7/2022; -99; 24; 3; 214
Marseille; 3; Cabane dans un arbre; Bricolage, Donner des cours d anglais; Pas d animaux, Non fumeur; Balade à cheval; Transfert possible; Pension complète; 28/6/2023; 29/6/2023; -99; 24; 3; 215
Draguignan; 4; Chambre; Jardinage; ; Wifi; Pas de transfert; Demi-pension; 28/4/2024; 29/4/2024; -99; 80; 2; 216
Chartres; 4; Tente; Bricolage, Jardinage; Non fumeur; Piscine, Wifi, Parking; Transfert possible; Petit déjeuner; 18/6/2022; 19/6/2022; -99; 24; 1; 217
Chartres; 2; Cabane dans un arbre; Promener les chiens, Babysitting; ; Balade à cheval, Wifi, Parking; Pas de transfert; Demi-pension; 17/7/2023; 27/7/2023; -99; 36; 1; 218
Marseille; 3; Chambre; Promener les chiens, Jardinage; Pas d animaux, Non fumeur; Parking, Blanchissage, Balade à cheval; Transfert possible; Petit déjeuner; 26/10/2024; 27/10/2024; -99; 78; 1; 219
Paris; 3; Chambre; Babysitting, Donner des cours d anglais; Non fumeur, Pas d animaux; Parking, Wifi, Balade à cheval; Pas de transfert; Pension complète; 20/4/2023; 21/4/2023; -99; 83; 2; 220
Berlin; 3; Cabane dans un arbre; Bricolage, Babysitting; Pas d animaux; Balade à cheval, Parking, Blanchissage; Transfert possible; Pension complète; 11/8/2024; 14/8/2024; -99; 39; 3; 221
Draguignan; 3; Tente; Babysitting, Bricolage; ; Blanchissage; Pas de transfert; Demi-pension; 28/11/2023; 29/11/2023; -99; 68; 2; 222
Seville; 2; Cabane dans un arbre; Promener les chiens, Jardinage; Non fumeur; Wifi, Blanchissage; Transfert possible; Pension complète; 8/7/2022; 29/7/2022; -99; 83; 2; 223
Marseille; 3; Chambre; Promener les chiens; ; Balade à cheval; Transfert possible; Demi-pension; 17/5/2022; 27/5/2022; -99; 13; 1; 224
Toulouse; 4; Tente; Babysitting, Bricolage; Non fumeur; Parking, Blanchissage, Wifi; Transfert possible; Pension complète; 27/9/2022; 28/9/2022; -99; 45; 2; 225
Moscou; 6; Cabane dans un arbre; Bricolage, Jardinage; Pas d animaux; Parking, Balade à cheval, Wifi; Pas de transfert; Demi-pension; 15/8/2022; 19/8/2022; -99; 55; 1; 226
Moscou; 4; Cabane dans un arbre; Bricolage, Donner des cours d anglais; ; Blanchissage; Transfert possible; Demi-pension; 9/10/2023; 23/10/2023; -99; 5; 3; 227
Draguignan; 3; Chambre; Jardinage, Donner des cours d anglais; ; Parking; Pas de transfert; Pension complète; 1/5/2022; 15/5/2022; -99; 43; 2; 228
Seville; 6; Tente; Promener les chiens, Donner des cours d anglais; Pas d animaux, Non fumeur; Parking, Blanchissage; Pas de transfert; Demi-pension; 19/5/2022; 28/5/2022; -99; 64; 3; 229
Berlin; 5; Cabane dans un arbre; Donner des cours d anglais, Jardinage; Non fumeur, Pas d animaux; Wifi, Blanchissage, Parking; Pas de transfert; Pension complète; 3/4/2023; 12/4/2023; -99; 26; 2; 230
Toulouse; 4; Tente; Donner des cours d anglais, Babysitting; ; Parking, Wifi, Balade à cheval; Pas de transfert; Demi-pension; 12/8/2024; 13/8/2024; -99; 6; 3; 231
Avignon; 3; Tente; Bricolage; ; Balade à cheval, Wifi, Blanchissage; Pas de transfert; Pension complète; 22/8/2024; 29/8/2024; -99; 98; 1; 232
Paris; 4; Cabane dans un arbre; Promener les chiens, Jardinage; Non fumeur; Parking; Transfert possible; Petit déjeuner; 12/8/2024; 13/8/2024; -99; 5; 3; 233
Strasbourg; 4; Cabane dans un arbre; Bricolage; ; Wifi, Blanchissage, Parking; Pas de transfert; Pension complète; 9/12/2023; 10/12/2023; -99; 96; 2; 234
Strasbourg; 2; Tente; Donner des cours d anglais; Pas d animaux; Parking, Balade à cheval; Transfert possible; Demi-pension; 1/12/2023; 8/12/2023; -99; 5; 3; 235
Moscou; 5; Tente; Jardinage, Promener les chiens; ; Balade à cheval, Piscine, Wifi; Pas de transfert; Petit déjeuner; 16/4/2023; 17/4/2023; -99; 9; 2; 236
Moscou; 4; Chambre; Donner des cours d anglais; Pas d animaux, Non fumeur; Piscine, Blanchissage, Balade à cheval; Transfert possible; Pension complète; 14/7/2024; 28/7/2024; -99; 8; 2; 237
Paris; 4; Chambre; Babysitting; Pas d animaux; Piscine, Blanchissage; Transfert possible; Pension complète; 3/9/2022; 5/9/2022; -99; 44; 2; 238
Draguignan; 6; Chambre; Donner des cours d anglais; ; Wifi; Transfert possible; Petit déjeuner; 24/12/2023; 25/12/2023; -99; 34; 1; 239
Seville; 5; Chambre; Promener les chiens, Babysitting; ; Balade à cheval; Transfert possible; Demi-pension; 15/6/2022; 29/6/2022; -99; 78; 1; 240
Marseille; 3; Cabane dans un arbre; Promener les chiens, Jardinage; Non fumeur; Piscine, Blanchissage, Wifi; Transfert possible; Demi-pension; 5/11/2024; 24/11/2024; -99; 6; 3; 241
Paris; 3; Cabane dans un arbre; Donner des cours d anglais, Promener les chiens; ; Balade à cheval, Wifi, Parking; Pas de transfert; Petit déjeuner; 27/7/2022; 31/7/2022; -99; 5; 2; 242
Seville; 6; Cabane dans un arbre; Donner des cours d anglais, Babysitting; ; Parking; Transfert possible; Pension complète; 28/3/2024; 29/3/2024; -99; 14; 3; 243
Draguignan; 5; Tente; Promener les chiens, Donner des cours d anglais; Pas d animaux, Non fumeur; Wifi, Parking, Balade à cheval; Transfert possible; Demi-pension; 1/1/2024; 29/1/2024; -99; 16; 1; 244
Avignon; 3; Chambre; Donner des cours d anglais; Pas d animaux, Non fumeur; Balade à cheval, Blanchissage, Piscine; Transfert possible; Demi-pension; 20/6/2022; 21/6/2022; -99; 89; 3; 245
Berlin; 4; Tente; Bricolage; ; Parking, Wifi; Transfert possible; Petit déjeuner; 1/11/2024; 24/11/2024; -99; 90; 1; 246
Berlin; 2; Cabane dans un arbre; Promener les chiens; Pas d animaux, Non fumeur; Piscine; Transfert possible; Demi-pension; 25/2/2024; 26/2/2024; -99; 98; 1; 247
Strasbourg; 4; Tente; Jardinage; Pas d animaux, Non fumeur; Balade à cheval, Parking, Piscine; Pas de transfert; Petit déjeuner; 22/7/2023; 23/7/2023; -99; 4; 2; 248
Moscou; 3; Cabane dans un arbre; Promener les chiens; Non fumeur, Pas d animaux; Balade à cheval, Wifi; Transfert possible; Demi-pension; 9/7/2022; 10/7/2022; -99; 45; 2; 249
Toulouse; 5; Tente; Donner des cours d anglais, Babysitting; Pas d animaux; Wifi; Transfert possible; Petit déjeuner; 5/7/2023; 6/7/2023; -99; 46; 2; 250
Chartres; 4; Cabane dans un arbre; Promener les chiens, Babysitting; Pas d animaux; Balade à cheval; Transfert possible; Demi-pension; 17/12/2024; 28/12/2024; -99; 70; 1; 251
Avignon; 5; Chambre; Babysitting, Jardinage; ; Blanchissage, Parking, Balade à cheval; Transfert possible; Pension complète; 31/7/2023; 32/7/2023; -99; 2; 1; 252
Paris; 5; Tente; Donner des cours d anglais, Promener les chiens; Pas d animaux; Balade à cheval, Parking, Piscine; Transfert possible; Petit déjeuner; 24/10/2024; 25/10/2024; -99; 92; 2; 253
Marseille; 5; Cabane dans un arbre; Donner des cours d anglais; Non fumeur; Parking; Transfert possible; Petit déjeuner; 25/4/2023; 30/4/2023; -99; 47; 1; 254
Chartres; 6; Chambre; Babysitting; Non fumeur; Blanchissage, Wifi, Balade à cheval; Pas de transfert; Demi-pension; 27/10/2024; 28/10/2024; -99; 46; 2; 255
Strasbourg; 5; Chambre; Babysitting, Jardinage; Pas d animaux; Wifi, Piscine, Parking; Transfert possible; Petit déjeuner; 30/5/2024; 31/5/2024; -99; 89; 1; 256
Seville; 4; Chambre; Promener les chiens; Pas d animaux, Non fumeur; Wifi; Transfert possible; Petit déjeuner; 9/7/2022; 10/7/2022; -99; 15; 3; 257
Chartres; 3; Tente; Promener les chiens; ; Wifi, Balade à cheval; Pas de transfert; Petit déjeuner; 16/4/2024; 17/4/2024; -99; 43; 2; 258
Avignon; 6; Cabane dans un arbre; Donner des cours d anglais, Bricolage; ; Piscine, Balade à cheval, Parking; Transfert possible; Petit déjeuner; 24/7/2022; 25/7/2022; -99; 22; 2; 259
Toulouse; 5; Tente; Babysitting; Non fumeur, Pas d animaux; Piscine; Pas de transfert; Demi-pension; 14/2/2024; 15/2/2024; -99; 14; 2; 260
Avignon; 4; Tente; Promener les chiens, Jardinage; Non fumeur; Parking, Wifi; Transfert possible; Demi-pension; 4/12/2023; 5/12/2023; -99; 6; 1; 261
Toulouse; 5; Cabane dans un arbre; Babysitting; Pas d animaux; Wifi, Parking; Transfert possible; Petit déjeuner; 27/9/2022; 28/9/2022; -99; 81; 3; 262
Moscou; 4; Chambre; Bricolage, Babysitting; Pas d animaux, Non fumeur; Balade à cheval, Parking; Pas de transfert; Pension complète; 24/3/2024; 25/3/2024; -99; 26; 1; 263
Paris; 4; Chambre; Jardinage, Babysitting; Pas d animaux, Non fumeur; Blanchissage; Transfert possible; Pension complète; 12/4/2023; 29/4/2023; -99; 58; 3; 264
Seville; 4; Tente; Jardinage; Pas d animaux; Wifi, Piscine, Balade à cheval; Transfert possible; Petit déjeuner; 25/5/2022; 26/5/2022; -99; 22; 2; 265
Paris; 5; Tente; Babysitting, Bricolage; Pas d animaux, Non fumeur; Piscine; Pas de transfert; Petit déjeuner; 7/10/2024; 16/10/2024; -99; 15; 2; 266
Draguignan; 4; Chambre; Jardinage, Bricolage; ; Piscine, Balade à cheval; Pas de transfert; Demi-pension; 1/11/2022; 18/11/2022; -99; 85; 1; 267
Berlin; 5; Cabane dans un arbre; Jardinage, Donner des cours d anglais; ; Parking, Balade à cheval, Wifi; Pas de transfert; Demi-pension; 30/6/2022; 31/7/2022; -99; 46; 2; 268
Avignon; 5; Tente; Bricolage, Promener les chiens; ; Parking; Transfert possible; Demi-pension; 8/3/2024; 30/3/2024; -99; 79; 3; 269
Seville; 5; Chambre; Jardinage, Bricolage; Non fumeur; Parking, Piscine; Pas de transfert; Petit déjeuner; 3/6/2024; 15/6/2024; -99; 93; 3; 270
Chartres; 5; Tente; Jardinage; ; Piscine; Transfert possible; Pension complète; 30/10/2022; 31/10/2022; -99; 1; 3; 271
Seville; 5; Chambre; Jardinage, Donner des cours d anglais; Pas d animaux, Non fumeur; Wifi, Blanchissage, Piscine; Transfert possible; Demi-pension; 1/12/2024; 9/12/2024; -99; 66; 1; 272
Chartres; 3; Tente; Donner des cours d anglais, Jardinage; Pas d animaux, Non fumeur; Balade à cheval, Piscine, Parking; Transfert possible; Petit déjeuner; 14/11/2022; 16/11/2022; -99; 52; 1; 273
Paris; 3; Chambre; Promener les chiens; Non fumeur, Pas d animaux; Piscine, Wifi; Pas de transfert; Petit déjeuner; 7/12/2023; 31/12/2023; -99; 3; 2; 274
Moscou; 5; Tente; Promener les chiens; Non fumeur, Pas d animaux; Balade à cheval, Wifi; Transfert possible; Petit déjeuner; 13/11/2022; 23/11/2022; -99; 9; 1; 275
Strasbourg; 6; Cabane dans un arbre; Babysitting; Pas d animaux, Non fumeur; Parking, Wifi, Blanchissage; Pas de transfert; Demi-pension; 6/5/2024; 20/5/2024; -99; 18; 2; 276
Chartres; 2; Chambre; Promener les chiens; ; Wifi, Piscine; Transfert possible; Demi-pension; 21/12/2024; 22/12/2024; -99; 78; 1; 277
Draguignan; 5; Cabane dans un arbre; Jardinage; Pas d animaux; Piscine, Wifi; Pas de transfert; Petit déjeuner; 4/5/2024; 17/5/2024; -99; 26; 1; 278
Chartres; 2; Chambre; Donner des cours d anglais, Babysitting; Non fumeur; Piscine; Transfert possible; Petit déjeuner; 28/2/2024; 29/2/2024; -99; 66; 1; 279
